Exon	Gene	HUGO	ExonNumber	PairwiseTissue	TissueSpecificity
ENSE00001285230	ENSG00000151704	KCNJ1	7	brain2kidney, colon2kidney, heart2kidney, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid	kidney
ENSE00001303353	ENSG00000130856	ZNF236	31	brain2kidney, colon2kidney, heart2kidney, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid	kidney
ENSE00001041739	ENSG00000143257	NR1I3	21	brain2liver, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	liver
ENSE00001446058	ENSG00000143257	NR1I3	21	brain2liver, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	liver
ENSE00000958356	ENSG00000197965	MPZL1	8	brain2liver, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	liver
ENSE00001522887	ENSG00000106633	GCK	15	brain2liver, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	liver
ENSE00000703613	ENSG00000005471	ABCB4	35	brain2liver, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	liver
ENSE00001245499	ENSG00000170632	ARMC10	3	brain2liver, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	liver
ENSE00001132747	ENSG00000170632	ARMC10	3	brain2liver, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	liver
ENSE00001157509	ENSG00000171105	INSR	22	brain2liver, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	liver
ENSE00001377541	ENSG00000142192	APP	19	brain2liver, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	liver
ENSE00001065029	ENSG00000159023	EPB41	29	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00001427474	ENSG00000183091	NEB	212	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
